TestImage,TrainImage,Norm1,Norm2,Norm3,Norm4
image0,imageee2238,722.0079631796934,342.5150773590704,812.7965749492303,1030.2924745998873
image0,imageee4860,194.4355003606851,279.43808526510855,291.7750553968415,190.89254411634295
image0,imageee4106,492.4410782613894,431.0612379999852,274.5643987704341,759.6605193543888
image0,imageee1342,556.6083464882466,821.1856505067416,750.2143921927523,916.4740453386063
image0,imageee825,82.46893155782969,715.5886791479586,51.267171520184114,703.6883846541449
image0,imageee3799,777.7538482158667,874.8771823360458,811.3166908123545,692.2824914990626
image0,imageee3712,813.8111054647876,945.3292826631312,770.3046118208754,306.7170618390829
image0,imageee1639,184.6690417214264,405.73008898602785,710.17650098158,612.2137758785407
image0,imageee3257,997.9485826439659,695.0124204243401,958.5942312498653,708.2013729137212
image0,imageee3789,853.5523055354427,45.01217195070688,962.7655375214052,211.1025855822239
image0,imageee1555,771.0838656181311,767.622342802299,868.6743254495266,389.0611950382998
image0,imageee2320,429.91076465418973,657.4129544870483,183.16877197235348,536.9055083938514
image0,imageee4799,1309.004287323089,300.3701960136355,973.0053321870236,645.8004614011588
image0,imageee3179,910.2577030482081,141.62827435311067,609.0468804986853,41.587942925203684
image0,imageee4866,194.40091271436972,389.2925097247314,134.52019973134142,498.0801762893902
image0,imageee3785,995.2320854779099,293.7008623326126,1088.4584687643119,654.9978464478108
image0,imageee548,719.271019883055,28.15536521642019,576.6628139811079,254.23153198484266
image0,imageee2705,328.66142558517544,763.261698156484,711.053965033857,630.9770296881413
image0,imageee1385,450.341079822794,115.18846771326515,1558.6401038754234,579.3275222369554
image0,imageee2750,1106.5132372149503,110.98310743392415,947.2022612677026,313.3763048343153
image0,imageee616,855.5677703323041,306.75682629835643,489.3048408080286,197.71910966070016
image0,imageee1367,137.34024487760263,118.4929397954161,984.7054441276433,667.7748714572672
image0,imageee4280,402.9044828274935,56.49670339409203,529.9343588450932,84.39406259346688
image0,imageee3338,1138.4898155941446,940.1027876600883,1186.4364648528424,1293.6052547614818
image0,imageee3695,815.5476915377911,177.2224518413508,1240.772935485103,1223.7279420886982
image0,imageee1264,865.0124950975217,626.0653151834399,283.194845847943,777.1821631004535
image0,imageee1013,198.43105922143303,125.08850824788065,501.41947290837203,62.39438907345716
image0,imageee1764,301.0574604059329,810.7532730419717,291.4237651544396,119.59609982415817
image0,imageee372,612.2682843593077,231.44259267954544,767.8052131506338,427.3228943202435
image0,imageee3503,479.6440384133425,219.65620303471957,777.3852639431619,190.34088480786238
image0,imageee3100,928.2835069852315,1139.7286276740138,663.01403178466,356.9164911501283
image0,imageee2807,516.7262134027941,24.607926992942737,418.80799836796314,212.26439053623665
image0,imageee2828,887.8599026564159,136.07658432783342,762.9930588127196,581.2147887946161
image0,imageee4812,498.1369486629455,1151.0911032867596,814.199892113325,1336.5286089969118
image0,imageee3562,1444.000159148385,552.77173303256,1102.6077083179587,270.27815534789335
image0,imageee1148,355.1472393037289,121.00736232180266,741.5717446233779,394.86989926905045
image0,imageee3996,727.1133258070569,1076.554594826063,522.1490732841338,660.2432865300331
image0,imageee3881,643.2319042608738,147.29213671374308,124.22168920164468,662.0071384459235
image0,imageee4394,61.30710271640628,476.072365024898,379.5061736230914,331.7003005438644
