Img_Name,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10
imageee345,0.0,2867.6924,3087.0327,4178.079,0.0,3060.9573,0.0,3036.4495,3006.8254,2908.994
imageee4681,0.0,2981.789,3149.7302,4334.877,0.0,3150.0168,0.0,3068.243,3099.3833,3044.4648
imageee1971,0.0,2722.0002,2915.8428,3988.865,0.0,2924.7026,0.0,2891.825,2871.4495,2791.9167
imageee1042,0.0,1906.0613,2045.2565,2807.0134,0.0,2045.3246,0.0,2031.1428,2009.3936,1955.8219
imageee1690,0.0,2870.568,3093.74,4205.2593,0.0,3075.3926,0.0,3049.2478,3011.28,2932.0522
imageee497,0.0,3969.6946,4244.0273,5785.265,0.0,4236.9106,0.0,4204.642,4153.0625,4041.3477
imageee940,0.0,2728.976,2910.3484,3974.8752,0.0,2905.4587,0.0,2927.0068,2861.6326,2764.5037
imageee1165,0.0,3077.0195,3303.5352,4571.6953,0.0,3312.3086,0.0,3107.6697,3221.972,3138.0178
imageee501,0.0,2795.884,2994.7793,4063.017,0.0,2988.0117,0.0,2976.6511,2906.2207,2840.4937
imageee1320,0.0,2602.6826,2804.3384,3833.6213,0.0,2798.125,0.0,2714.1958,2726.6814,2648.4453
imageee3648,0.0,3574.9019,3849.1086,5220.1724,0.0,3843.3784,0.0,3812.9658,3733.2642,3655.1628
imageee3872,0.0,2753.1428,2921.8384,3997.9373,0.0,2902.0107,0.0,2890.316,2852.2256,2806.6018
imageee737,0.0,2150.413,2322.761,3202.1677,0.0,2339.9988,0.0,2199.9097,2260.2764,2172.695
imageee4506,0.0,2917.14,3132.0645,4218.802,0.0,3080.588,0.0,3037.102,3006.56,2948.0293
imageee1026,0.0,3800.1335,4100.307,5574.079,0.0,4075.7166,0.0,3981.5132,3970.1892,3873.7205
imageee20,0.0,2544.1836,2747.9932,3756.4219,0.0,2745.5527,0.0,2624.8008,2659.366,2593.7625
imageee4117,0.0,2874.8564,3099.8599,4181.202,0.0,3091.5698,0.0,3030.2488,3006.1357,2903.463
imageee880,0.0,2094.7585,2253.8596,3071.4194,0.0,2247.6448,0.0,2236.1724,2198.9163,2128.3975
imageee1350,0.0,2455.1396,2620.5977,3645.0923,0.0,2655.0137,0.0,2474.3616,2594.7595,2516.5166
imageee2645,0.0,3185.8726,3435.1597,4704.0234,0.0,3435.5767,0.0,3263.0366,3338.516,3229.4956
imageee3394,0.0,2332.614,2545.397,3443.0054,0.0,2510.4067,0.0,2357.2444,2439.171,2365.123
imageee1413,0.0,4033.4062,4332.3076,5908.3,0.0,4320.848,0.0,4196.88,4190.4937,4102.557
imageee4111,0.0,2216.8726,2407.2002,3276.4543,0.0,2396.1926,0.0,2274.7283,2317.0615,2256.7705
imageee4815,0.0,2827.052,3042.7913,4162.42,0.0,3054.0962,0.0,2976.8933,2975.7544,2894.6438
imageee1906,0.0,3541.921,3829.9802,5218.9424,0.0,3803.5215,0.0,3721.078,3704.7742,3625.634
imageee2970,0.0,2712.8643,2915.161,3958.2158,0.0,2896.0063,0.0,2831.2793,2828.0676,2759.5615
imageee818,0.0,3111.4983,3333.7708,4582.264,0.0,3343.433,0.0,3297.2498,3303.7966,3188.6416
imageee3401,0.0,3083.0989,3331.9795,4503.82,0.0,3333.3853,0.0,3308.028,3227.1033,3147.096
imageee566,0.0,1210.0986,1270.8861,1721.5057,0.0,1279.0499,0.0,1305.6145,1259.3339,1221.2482
imageee1031,0.0,3027.3423,3239.7468,4405.637,0.0,3202.1377,0.0,3051.5188,3138.2117,3041.376
imageee1775,0.0,2868.0562,3097.9355,4220.8906,0.0,3075.2612,0.0,3023.9998,3011.8386,2937.888
imageee4783,0.0,2358.3337,2553.3525,3488.5615,0.0,2560.7705,0.0,2524.8281,2471.1106,2408.0781
imageee690,0.0,2763.1372,2985.5947,4028.1702,0.0,2971.0508,0.0,2905.8213,2887.0283,2831.0264
imageee495,0.0,3671.5906,3911.994,5317.016,0.0,3893.8928,0.0,3895.8965,3823.054,3720.0183
imageee3780,0.0,2301.6125,2472.304,3350.302,0.0,2466.2627,0.0,2406.1152,2384.142,2336.2073
imageee3681,0.0,2121.359,2267.0808,3092.484,0.0,2265.7244,0.0,2275.8452,2208.0076,2155.9792
imageee137,0.0,3295.7156,3571.8474,4858.9053,0.0,3564.704,0.0,3396.0903,3471.164,3337.8298
imageee2411,0.0,2604.692,2807.4707,3828.4705,0.0,2780.7473,0.0,2710.8394,2729.1836,2666.8933
imageee3524,0.0,2597.958,2801.3645,3795.6968,0.0,2792.0945,0.0,2671.651,2693.148,2635.26
imageee3249,0.0,2945.8552,3179.647,4319.2925,0.0,3160.431,0.0,3054.154,3072.803,2999.9524
imageee2553,0.0,3342.9858,3593.796,4874.1846,0.0,3590.6921,0.0,3499.422,3479.9485,3398.7217
imageee867,0.0,2907.239,3132.5808,4231.791,0.0,3110.9062,0.0,3019.1536,3025.9949,2949.0261
imageee3737,0.0,2623.9321,2843.8943,3888.37,0.0,2826.1323,0.0,2688.9768,2762.4814,2677.5305
imageee3232,0.0,3534.5781,3823.2732,5198.424,0.0,3823.1394,0.0,3686.295,3708.239,3598.2068
imageee1656,0.0,2272.7585,2437.8513,3325.316,0.0,2461.5935,0.0,2309.922,2328.2495,2307.4692
imageee871,0.0,2918.5913,3148.8545,4286.452,0.0,3148.6736,0.0,2916.281,3058.0781,2988.6838
imageee1,0.0,2624.052,2843.4895,3817.327,0.0,2818.9785,0.0,2785.27,2749.261,2661.2166
imageee3771,0.0,2993.2295,3202.406,4355.8877,0.0,3177.9302,0.0,3140.9229,3145.5417,3043.2234
imageee828,0.0,1987.7349,2122.5493,2917.3586,0.0,2148.7422,0.0,2112.2427,2091.8284,2029.4712
imageee2489,0.0,2967.2334,3225.684,4361.3096,0.0,3229.3267,0.0,3044.3372,3089.5767,3002.074
imageee3752,0.0,3086.9607,3321.027,4505.8335,0.0,3313.342,0.0,3131.3032,3192.804,3115.261
imageee1128,0.0,2061.121,2186.031,3016.5496,0.0,2206.4312,0.0,2126.8955,2156.2043,2103.4375
imageee2209,0.0,2805.987,3071.5164,4089.4307,0.0,3017.0154,0.0,2900.2551,2915.74,2822.9636
imageee203,0.0,2278.9722,2419.9568,3329.7395,0.0,2462.2224,0.0,2439.7925,2399.3994,2326.1846
imageee2756,0.0,2704.039,2902.6987,3960.5974,0.0,2902.7456,0.0,2854.714,2820.1584,2756.5684
imageee46,0.0,2726.9392,2951.9705,4002.3296,0.0,2942.4194,0.0,2824.5305,2852.6538,2764.4277
imageee3263,0.0,2561.117,2759.4966,3758.2192,0.0,2751.1301,0.0,2670.3943,2679.598,2615.4702
imageee1936,0.0,2639.0698,2855.73,3881.0393,0.0,2826.517,0.0,2705.4377,2756.3098,2698.2102
imageee2828,0.0,2817.6248,3042.5356,4136.562,0.0,3017.8696,0.0,2916.6377,2935.9978,2868.0957
imageee1262,0.0,3481.7703,3724.6807,5053.9185,0.0,3707.197,0.0,3658.8325,3621.9568,3558.9128
imageee3682,0.0,1121.8506,1188.5267,1633.7675,0.0,1196.7272,0.0,1213.8303,1171.0121,1144.0226
imageee4139,0.0,2911.8452,3136.2888,4256.692,0.0,3116.853,0.0,3082.8818,3037.0754,2950.542
imageee2792,0.0,1705.2805,1834.8951,2482.0125,0.0,1834.8585,0.0,1753.9462,1780.1483,1748.3838
imageee995,0.0,3143.9382,3417.6157,4613.5933,0.0,3382.4104,0.0,3182.837,3264.5237,3196.2336
imageee23,0.0,3160.76,3438.3704,4674.747,0.0,3444.1118,0.0,3353.4082,3324.6948,3239.2131
imageee96,0.0,2727.4785,2948.3013,4023.526,0.0,2941.0986,0.0,2934.5056,2879.5315,2775.0967
imageee2234,0.0,2566.404,2765.9976,3757.9897,0.0,2739.2627,0.0,2600.248,2678.8792,2604.5012
imageee3563,0.0,2610.6516,2815.9565,3812.5361,0.0,2798.0913,0.0,2753.1895,2729.2139,2659.731
imageee4034,0.0,2892.9246,3159.5469,4274.6855,0.0,3141.2295,0.0,3069.666,3037.3801,2975.7334
imageee1088,0.0,2610.6018,2846.0374,3834.0989,0.0,2833.8232,0.0,2688.5254,2747.5059,2648.699
imageee1723,0.0,2554.7712,2677.9346,3705.872,0.0,2700.569,0.0,2693.6301,2640.6548,2565.6675
